win_dim,num_tuples
10,190
20,160
30,135
40,118
50,57
60,40
70,36
80,33
90,31
100,29
110,29
120,27
130,27
140,25
150,24
160,23
170,21
180,18
190,18
200,18
210,17
220,16
230,15
240,15
250,14
260,13
270,13
280,13
290,13
300,13
310,13
320,13
330,13
340,13
350,13
360,13
370,13
380,12
390,12
400,11
410,11
420,11
430,11
440,11
450,11
460,10
470,10
480,8
490,8
500,8
510,8
520,7
530,7
540,7
550,7
560,7
570,7
580,6
590,6
600,6
610,6
620,6
630,6
640,6
650,6
660,6
670,6
680,6
690,6
700,6
710,5
720,5
730,5
740,5
750,5
760,5
770,5
780,5
790,4
800,4
810,4
820,4
830,4
840,4
850,4
860,4
870,4
880,4
890,4
900,4
910,4
920,4
930,4
940,4
950,4
960,4
970,4
980,4
990,4
1000,4
1010,4
1020,4
1030,4
1040,4
1050,4
1060,4
1070,4
1080,4
1090,4
1100,4
1110,4
1120,4
1130,4
1140,4
1150,4
1160,4
1170,4
1180,4
1190,4
1200,4
1210,4
1220,4
1230,4
1240,4
1250,4
1260,4
1270,4
1280,4
1290,4
1300,4
1310,4
1320,4
1330,4
1340,4
1350,4
1360,4
1370,4
1380,4
1390,4
1400,4
1410,4
1420,4
1430,4
1440,4
1450,4
1460,4
1470,4
1480,4
1490,4
1500,4
1510,4
1520,4
1530,4
1540,4
1550,4
1560,4
1570,4
1580,4
1590,4
1600,4
