win_dim,num_tuples
10,300
20,218
30,183
40,151
50,132
60,119
70,115
80,110
90,108
100,108
110,106
120,105
130,105
140,103
150,103
160,103
170,103
180,103
190,103
200,101
210,101
220,101
230,101
240,100
250,100
260,100
270,100
280,100
290,100
300,100
310,100
320,100
330,100
340,100
350,100
360,98
370,97
380,97
390,97
400,97
410,97
420,97
430,97
440,97
450,96
460,96
470,96
480,96
490,96
500,95
510,95
520,95
530,95
540,94
550,94
560,94
570,94
580,94
590,94
600,94
610,94
620,94
630,94
640,94
650,94
660,94
670,94
680,94
690,94
700,94
710,94
720,93
730,92
740,92
750,92
760,92
770,92
780,92
790,92
800,92
810,92
820,92
830,92
840,92
850,92
860,92
870,92
880,92
890,92
900,92
910,92
920,92
930,92
940,92
950,92
960,92
970,92
980,92
990,92
1000,92
1010,92
1020,92
1030,92
1040,92
1050,91
1060,91
1070,91
1080,91
1090,91
1100,91
1110,91
1120,91
1130,91
1140,91
1150,91
1160,91
1170,91
1180,91
1190,91
1200,91
1210,91
1220,91
1230,91
1240,91
1250,91
1260,91
1270,91
1280,91
1290,91
1300,91
1310,91
1320,91
1330,91
1340,91
1350,91
1360,91
1370,91
1380,91
1390,91
1400,91
1410,91
1420,91
1430,91
1440,90
1450,90
1460,89
1470,89
1480,89
1490,89
1500,89
1510,89
1520,89
1530,89
1540,89
1550,89
1560,89
1570,89
1580,89
1590,89
1600,89
1610,89
1620,89
1630,89
1640,89
1650,89
1660,89
1670,89
1680,89
1690,89
1700,89
1710,89
1720,89
1730,89
1740,89
1750,89
1760,89
1770,88
1780,88
1790,88
1800,88
1810,88
1820,88
1830,88
1840,88
1850,88
1860,88
1870,88
1880,88
1890,88
1900,88
1910,88
1920,88
1930,88
1940,88
1950,88
1960,88
1970,88
1980,88
1990,88
2000,88
2010,88
2020,88
2030,88
2040,88
2050,88
2060,88
2070,88
2080,87
2090,87
2100,87
2110,87
2120,87
2130,87
2140,87
2150,87
2160,87
2170,87
2180,87
2190,87
2200,86
2210,86
2220,86
2230,86
2240,86
2250,86
2260,86
2270,86
2280,86
2290,86
2300,86
2310,85
2320,85
2330,85
2340,85
2350,85
2360,85
2370,85
2380,85
2390,85
2400,85
2410,85
2420,85
2430,85
2440,85
2450,85
2460,84
2470,84
2480,84
2490,84
2500,84
2510,84
2520,84
2530,83
2540,83
2550,83
2560,83
2570,83
2580,83
2590,83
2600,83
2610,83
2620,83
2630,83
2640,83
2650,83
2660,83
2670,83
2680,83
2690,83
2700,83
2710,82
2720,82
2730,82
2740,82
2750,82
2760,82
2770,82
2780,82
2790,82
2800,82
2810,82
2820,82
2830,82
2840,82
2850,82
2860,82
2870,82
2880,82
2890,82
2900,82
2910,82
2920,82
2930,82
2940,82
2950,82
2960,82
2970,82
2980,82
2990,82
3000,82
3010,82
3020,82
3030,82
3040,82
3050,82
3060,82
3070,82
3080,82
3090,82
3100,82
3110,82
3120,82
3130,82
3140,82
3150,82
3160,82
3170,82
3180,81
3190,81
3200,81
3210,81
3220,81
3230,81
3240,81
3250,81
3260,81
3270,81
3280,81
3290,81
3300,81
3310,81
3320,81
3330,81
3340,81
3350,81
3360,81
3370,81
3380,81
3390,81
3400,81
3410,81
3420,80
3430,80
3440,80
3450,80
3460,80
3470,80
3480,80
3490,80
3500,80
3510,80
3520,80
3530,80
3540,80
3550,80
3560,80
3570,80
3580,80
3590,80
3600,80
3610,80
3620,80
3630,80
3640,80
3650,80
3660,80
3670,80
3680,80
3690,80
3700,80
3710,80
3720,80
3730,80
3740,80
3750,80
3760,80
3770,80
3780,80
3790,80
3800,80
3810,79
3820,79
3830,79
3840,79
3850,78
3860,78
3870,78
3880,78
3890,78
3900,78
3910,78
3920,78
3930,78
3940,78
3950,78
3960,78
3970,78
3980,78
3990,78
4000,78
4010,78
4020,78
4030,78
4040,78
4050,78
4060,77
4070,77
4080,77
4090,77
4100,77
4110,77
4120,77
4130,77
4140,77
4150,77
4160,77
4170,77
4180,77
4190,77
4200,77
4210,77
4220,77
4230,77
4240,77
4250,77
4260,77
4270,77
4280,77
4290,77
4300,77
4310,77
4320,77
4330,77
4340,77
4350,77
4360,77
4370,77
4380,77
4390,77
4400,77
4410,77
4420,77
4430,77
4440,77
4450,77
4460,77
4470,77
4480,77
4490,77
4500,77
4510,77
4520,77
4530,77
4540,77
4550,77
4560,77
4570,77
4580,77
4590,77
4600,77
4610,77
4620,77
4630,77
4640,77
4650,77
4660,77
4670,77
4680,77
4690,77
4700,77
4710,77
4720,77
4730,77
4740,77
4750,77
4760,77
4770,77
4780,76
4790,76
4800,76
4810,76
4820,76
4830,76
4840,76
4850,76
4860,76
4870,76
4880,76
4890,76
4900,76
4910,76
4920,76
4930,76
4940,76
4950,76
4960,76
4970,76
4980,76
4990,76
5000,76
